t,I(t)
771.0,19.435961153134897
772.0,19.434402681751376
773.0,19.432878402343075
774.0,19.431371875912394
775.0,19.429831931088973
776.0,19.428259922092405
777.0,19.426603025561125
778.0,19.424958442742597
779.0,19.423291617004757
780.0,19.421571855473246
781.0,19.419742040187717
782.0,19.417845742996008
783.0,19.41582909210369
784.0,19.41372411241952
785.0,19.41152368402464
786.0,19.40920336123249
787.0,19.406750562461976
788.0,19.40414561153728
789.0,19.401424646703948
790.0,19.39867732296854
791.0,19.395969167532964
792.0,19.393250328436096
793.0,19.390478066395
794.0,19.387552947507338
795.0,19.384480628845278
796.0,19.381244925910266
797.0,19.377883355703776
798.0,19.374466874694033
799.0,19.371025192326403
800.0,19.36762337135933
801.0,19.36431016533893
802.0,19.361104491886714
803.0,19.357996858014612
804.0,19.354941278944537
805.0,19.351995275538627
806.0,19.34910291407001
807.0,19.346238836946767
808.0,19.343467239447993
809.0,19.340689831002386
810.0,19.33793675574954
811.0,19.33520635439357
812.0,19.332488142903546
813.0,19.329807341494714
814.0,19.327134086252975
815.0,19.324534090577405
816.0,19.322038731169425
817.0,19.319635199676974
818.0,19.31741756083984
819.0,19.315404188016856
820.0,19.313592884504224
821.0,19.311906897228578
822.0,19.310285481559134
823.0,19.30873084029765
824.0,19.307266648575954
825.0,19.305875098091924
826.0,19.30457165868096
827.0,19.303276398730983
828.0,19.301936449361158
829.0,19.300522977634177
830.0,19.299096170105788
831.0,19.297627800442704
832.0,19.296068214644414
833.0,19.294445090826706
834.0,19.292736241656357
835.0,19.290989289226903
836.0,19.289199876344647
837.0,19.28728089394906
838.0,19.28524321105795
839.0,19.283072119874873
840.0,19.28068176394534
841.0,19.278129660163163
842.0,19.27546357116173
843.0,19.272697774427208
844.0,19.26990249876487
845.0,19.267097723906232
846.0,19.2643416033902
847.0,19.261584984069618
848.0,19.258756951144477
849.0,19.255890360984363
850.0,19.2529191486414
851.0,19.24987636657804
852.0,19.246769871777452
853.0,19.24361189301747
854.0,19.240396222852528
855.0,19.23707437208924
856.0,19.233652574957517
857.0,19.23017388781533
858.0,19.22663972025261
859.0,19.22302781176584
860.0,19.21931353602793
861.0,19.215494534171622
862.0,19.211613861112294
863.0,19.207676995323762
864.0,19.203693839637584
865.0,19.1996726906177
866.0,19.19561033431207
867.0,19.191488960803344
868.0,19.18724930024779
869.0,19.182877190418917
870.0,19.178407460549916
871.0,19.17381063961891
872.0,19.16910643050738
873.0,19.16430080448658
874.0,19.159415905443996
875.0,19.154509085941115
876.0,19.149646868435294
877.0,19.144843873994915
878.0,19.14008362150716
879.0,19.135433682036382
880.0,19.13086084267982
881.0,19.126405667021416
882.0,19.122166022730624
883.0,19.11803052011643
884.0,19.11402010763325
885.0,19.110167000177555
886.0,19.10641479738203
887.0,19.102762241933174
888.0,19.099206632213292
889.0,19.09578907171355
890.0,19.092581637593234
891.0,19.089534290565876
892.0,19.086715741916084
893.0,19.08416338212734
894.0,19.081863678797323
895.0,19.0797944565875
896.0,19.078023796286573
897.0,19.076467578126643
898.0,19.075074507835115
899.0,19.07381183275077
900.0,19.07259396218929
901.0,19.071343395709963
902.0,19.070017462273718
903.0,19.068643245937768
904.0,19.067229803814143
905.0,19.06580698936201
906.0,19.06441261940222
907.0,19.0630514978298
908.0,19.06174713200399
909.0,19.060498665652133
910.0,19.05923303986547
911.0,19.0579528808362
912.0,19.056586120806507
913.0,19.05508693523566
914.0,19.053517345920742
915.0,19.051829978756746
916.0,19.050099621550473
917.0,19.0483560291832
918.0,19.046715248948473
919.0,19.04519967518607
920.0,19.043830266571337
921.0,19.042590041151378
922.0,19.041575305153746
923.0,19.040769030457295
924.0,19.04020377118778
925.0,19.039775984811232
926.0,19.039407894077456
927.0,19.0391037381634
928.0,19.038823481363504
929.0,19.03858514089337
930.0,19.038487364626427
931.0,19.038463255307907
932.0,19.03847120328148
933.0,19.038571039562708
934.0,19.038737809930996
935.0,19.038982279701013
936.0,19.03926428944871
937.0,19.039676171086224
938.0,19.040173271412947
939.0,19.040753449668514
940.0,19.041366929529435
941.0,19.04204218266848
942.0,19.04275452290034
943.0,19.04348779658432
944.0,19.044178113854247
945.0,19.04482625079499
946.0,19.0455073722027
947.0,19.046174718136925
948.0,19.046800659519803
949.0,19.04741022587773
950.0,19.04805909537177
951.0,19.048854775406074
952.0,19.04974309002824
953.0,19.05079535663283
954.0,19.05198417464842
955.0,19.053226397864105
956.0,19.05434081846859
957.0,19.05525970227872
958.0,19.0559934643344
959.0,19.056608519799394
960.0,19.05715737026797
961.0,19.057532438117807
962.0,19.05781664192935
963.0,19.057980258246154
964.0,19.057987512674192
965.0,19.057760094750144
966.0,19.057315720197554
967.0,19.056601253712348
968.0,19.055566221349864
969.0,19.054168200714287
970.0,19.052472485807456
971.0,19.05056595896435
972.0,19.04844289119331
973.0,19.046091829604478
974.0,19.04357350174863
975.0,19.04094942812563
976.0,19.038195709765173
977.0,19.035247878286437
978.0,19.032223277675104
979.0,19.029130025020027
980.0,19.02598381961061
981.0,19.022784639223744
982.0,19.019463448507334
983.0,19.016075196090156
984.0,19.01258228681029
985.0,19.009062098285955
986.0,19.00540614485295
987.0,19.001666387974275
988.0,18.997902572757123
989.0,18.994079041727254
990.0,18.990275145509568
991.0,18.986511244445705
992.0,18.98288660630568
993.0,18.979349331870406
994.0,18.975874587077655
995.0,18.972514703440908
996.0,18.96933012735076
997.0,18.96631735999511
998.0,18.963503207691655
999.0,18.96084359959737
1000.0,18.958329296647925
1001.0,18.955875470867575
1002.0,18.953455542276572
1003.0,18.951101870462985
1004.0,18.94882741962855
1005.0,18.94658187359881
1006.0,18.94444553614959
1007.0,18.942412706696437
1008.0,18.940541458824928
1009.0,18.938810830829514
1010.0,18.93724850955827
1011.0,18.935885268952728
1012.0,18.934628804038418
1013.0,18.933479881772186
1014.0,18.93245768699455
1015.0,18.93148366861532
1016.0,18.93054012287049
1017.0,18.929617892148464
1018.0,18.92878931411078
1019.0,18.92803793559189
1020.0,18.927339326534554
1021.0,18.926689934218572
1022.0,18.92605083647565
1023.0,18.92536404787161
1024.0,18.92470462237148
1025.0,18.92404054813178
1026.0,18.923433928183872
1027.0,18.922948940937868
1028.0,18.922652797236022
1029.0,18.922545179682057
1030.0,18.922497592462964
1031.0,18.922462853791533
1032.0,18.922358851949536
1033.0,18.922234006074138
1034.0,18.922058641650818
1035.0,18.921824438606993
1036.0,18.921486537202316
1037.0,18.9210215140645
1038.0,18.920445795758248
1039.0,18.919765030855338
1040.0,18.919028968305692
1041.0,18.918161589618514
1042.0,18.917271324238634
1043.0,18.91631261958551
1044.0,18.915368711357726
1045.0,18.914510285835178
1046.0,18.91374839384426
1047.0,18.913108206081528
1048.0,18.91258037068344
1049.0,18.91221015235791
1050.0,18.91198808923012
1051.0,18.91179707185213
1052.0,18.911597420821664
1053.0,18.911355680493877
1054.0,18.91110737299985
1055.0,18.91087286232382
1056.0,18.91064378795481
1057.0,18.910484435975786
1058.0,18.910413365154223
1059.0,18.910389753050527
1060.0,18.91036348758609
1061.0,18.910256551182048
1062.0,18.910179989141525
1063.0,18.91008409513852
1064.0,18.909939721599088
1065.0,18.909705441682807
1066.0,18.909389894882942
1067.0,18.908987242025223
1068.0,18.908485392293283
1069.0,18.907920596814787
1070.0,18.907333826161715
1071.0,18.906727651875677
1072.0,18.9061299977459
1073.0,18.905529295018265
1074.0,18.904993295590216
1075.0,18.904547027306943
1076.0,18.904106837678217
1077.0,18.90371092904226
1078.0,18.90337710238973
1079.0,18.903044876049112
1080.0,18.902657844269974
1081.0,18.902201421686303
1082.0,18.90167545376777
1083.0,18.90108515440259
1084.0,18.900492458816885
1085.0,18.89986891937351
1086.0,18.899263841462854
1087.0,18.89868696228404
1088.0,18.898189845549748
1089.0,18.897753142369766
1090.0,18.897466059613528
1091.0,18.897247817349072
1092.0,18.897120715341707
1093.0,18.8970550267608
1094.0,18.89707153885568
1095.0,18.897170533914977
1096.0,18.897403099518947
1097.0,18.897772307387626
1098.0,18.898207536614564
1099.0,18.898724528546936
1100.0,18.899348600198202
1101.0,18.900043156383322
1102.0,18.900817725829988
1103.0,18.901682521488535
1104.0,18.90266415160112
1105.0,18.903782838026586
1106.0,18.905036060890637
1107.0,18.90632033167077
1108.0,18.90763233306286
1109.0,18.9089310430668
1110.0,18.910087027958944
1111.0,18.91108688130601
1112.0,18.911885229193494
1113.0,18.912422102054165
1114.0,18.9127166146528
1115.0,18.912773799880096
1116.0,18.912612029735033
1117.0,18.912210250906625
1118.0,18.911596771650824
1119.0,18.91076119565734
1120.0,18.909715509516683
1121.0,18.90849389147483
1122.0,18.90711378305327
1123.0,18.905594134876107
1124.0,18.903895682650095
1125.0,18.902046619899544
1126.0,18.9000723766988
1127.0,18.897992311984453
1128.0,18.895836590579087
1129.0,18.89354522866739
1130.0,18.891118112792366
1131.0,18.88867445727847
1132.0,18.886233851927315
1133.0,18.883817559058404
1134.0,18.88139415236532
1135.0,18.878981091079087
1136.0,18.876588463797585
1137.0,18.874146833587847
1138.0,18.871622338476016
1139.0,18.8689800467159
1140.0,18.866193733300054
1141.0,18.86325577366613
1142.0,18.86016622456386
1143.0,18.85691145197417
1144.0,18.853508973465637
1145.0,18.850042763135747
1146.0,18.846462902565733
1147.0,18.842694273611226
1148.0,18.838703591500085
1149.0,18.83448883819788
1150.0,18.830075368063522
1151.0,18.825496643696777
1152.0,18.820699036916036
