t,C(t)
0.0,1.000402703017019
1.0,0.9516357839706001
2.0,0.9052839783155769
3.0,0.8612370839768093
4.0,0.8193307053213823
5.0,0.7794266663899033
6.0,0.7413999487995969
7.0,0.7052865094687495
8.0,0.6710249153596383
9.0,0.6384779420703159
10.0,0.607517915587981
11.0,0.5780913329173859
12.0,0.5500929713603162
13.0,0.5234996605636124
14.0,0.49821141550445885
15.0,0.47407948278308715
16.0,0.45108974888661835
17.0,0.42925662632004397
18.0,0.4085378809866902
19.0,0.38880542680125774
20.0,0.3699724463677934
21.0,0.3520300289962302
22.0,0.33498112295391147
23.0,0.31878937911504734
24.0,0.30328240845177734
25.0,0.2885205798584106
26.0,0.27444228554881855
27.0,0.26105018724870777
28.0,0.2483366533828153
29.0,0.23626118526190784
30.0,0.22476812664579043
31.0,0.21379839379375032
32.0,0.20335307251957346
33.0,0.19338080540686525
34.0,0.18385557343273473
35.0,0.17480410271819458
36.0,0.16628126219825728
37.0,0.15822993413552985
38.0,0.15055277271342227
39.0,0.14323801575235035
40.0,0.136186507663845
41.0,0.12949471798975518
42.0,0.1230765892580503
43.0,0.11702001314008309
44.0,0.11120772360862871
45.0,0.10569536992713914
46.0,0.10042581023692744
47.0,0.09547017963897664
48.0,0.09077334579197896
49.0,0.08629947257423759
50.0,0.08207393266238268
51.0,0.0780359377221978
52.0,0.07420061715790473
53.0,0.0705659648338486
54.0,0.06707110641387995
55.0,0.06369900309559824
56.0,0.060493739776174366
57.0,0.05742102901450128
58.0,0.05446186191735209
59.0,0.05160442040492316
60.0,0.04894681891767494
61.0,0.04639270091637705
62.0,0.04393135317117536
63.0,0.041576454404443464
64.0,0.03940171633039837
65.0,0.0373588139116458
66.0,0.03539957260722912
67.0,0.033485147981307216
68.0,0.031738190350540624
69.0,0.030148528492089773
70.0,0.028705238958750736
71.0,0.02732952662833231
72.0,0.026019932047785826
73.0,0.024807529981912924
74.0,0.023543916467906323
75.0,0.022300379345873877
76.0,0.021047106663628096
77.0,0.019911529129674713
78.0,0.018888406426640195
79.0,0.01790715532917566
80.0,0.016947720631269547
81.0,0.016061689280936976
82.0,0.015279474406278972
83.0,0.014556487274866471
84.0,0.013910320340059224
85.0,0.013364764734211648
86.0,0.012769873276196133
87.0,0.012210098599407
88.0,0.01166408417241161
89.0,0.011139015242945189
90.0,0.01060612882689743
91.0,0.01014526326880546
92.0,0.009709725699743212
93.0,0.009384988774883635
94.0,0.009035586787601035
95.0,0.008702345458807164
96.0,0.008346243890915114
97.0,0.007984528982032925
98.0,0.007608331167982306
99.0,0.007217799534982003
100.0,0.006904668545062113
101.0,0.00655782626910176
102.0,0.006180845309562024
103.0,0.005905215589360693
104.0,0.00554708657650106
105.0,0.005252511572630644
106.0,0.004950503820462513
107.0,0.004647650162289297
108.0,0.004293666608760959
109.0,0.003961510607636729
110.0,0.0036494885679011872
111.0,0.0033538770712400567
112.0,0.0030609679711429095
113.0,0.0027417321841004517
114.0,0.0024917283014852143
115.0,0.0022850747022300747
116.0,0.0021252940796910127
117.0,0.0019743685990247146
118.0,0.0018269845892108978
119.0,0.0017219203798349383
120.0,0.0016478050696192273
121.0,0.0016167122928537625
122.0,0.0015777642275174811
123.0,0.001536128727496175
124.0,0.0015504280596182294
125.0,0.001555064672824989
126.0,0.0015287561201022238
127.0,0.0014438833141995578
128.0,0.0013847551669179325
129.0,0.001349263574545722
130.0,0.0013607613109082655
131.0,0.0013690907652075814
132.0,0.0013596361978125294
133.0,0.0012565965308192365
134.0,0.0011401372286032694
135.0,0.0010077796837993974
136.0,0.0009259884846452612
137.0,0.0008511157775731548
138.0,0.0006720029788246664
139.0,0.0005255790022917857
140.0,0.00047296135752082207
141.0,0.00047079348890840676
142.0,0.0003758696610120804
143.0,0.00022846635447678623
144.0,0.00010772079448057613
145.0,7.384000423953163e-05
146.0,2.831575468653487e-05
147.0,5.567502235204868e-06
148.0,-1.8921450615913376e-06
149.0,-8.999055727296878e-05
150.0,-0.0002447813814445008
